Run Name,Mean Average Precision,Mean P@10,Mean NDCG@10,Mean NDCG@1000,Mean TBG
student1,0.25,0.282,0.371,0.485,2.137
student2,0.141,0.193,0.251,0.344,1.321
student3,0.099,0.158,0.181,0.312,1.306
student4,0.202,0.244,0.328,0.427,1.847
student5,0.224,0.256,0.32,0.464,2.079
student6,bad format,bad format,bad format,bad format,bad format
student7,0.107,0.153,0.189,0.284,1.274
student8,0.213,0.26,0.346,0.438,1.962
student9,0.139,0.204,0.241,0.327,1.667
student10,bad format,bad format,bad format,bad format,bad format
student11,0.137,0.167,0.21,0.299,1.181
student12,bad format,bad format,bad format,bad format,bad format
student13,0.073,0.093,0.115,0.199,0.805
student14,0.2,0.251,0.323,0.414,1.845
